一个	одна штука, один
我们	мы; наш
中国	Китай; китайский
他们	они; их
没有	не иметь, не обладать, нет, не имеется
可以	мочь; можно
什么	(вопросительное) что?; какой?
这个	этот, это
国家	государство, страна; государственный
自己	сам, сам себя, сам собой; свой
问题	вопрос, проблема
美国	США, Соединённые Штаты (Америки)
因为	так как, потому что, вследствие (того
不是	I, bù shì
现在	теперь, сейчас, ныне; существующий
怎么	как?, каким образом?
就是	именно и есть, это и есть, именно
已经	уже
这些	[все] эти
发展	развиваться, развёртываться; увеличиваться
开始	начинать; начало, сначала, вначале, старт
这样	такой; так; таким образом
公司	фирма, компания; общество (напр.
政府	правительство; правительственный
可能	мочь; можно, возможно; вероятно; возможный
工作	работа; действие; рабочий
社会	общество; общественный, социальный
如果	если [бы], если в самом деле
知道	zhīdao, zhīdào знать, понимать; узнавать
进行	вести (что-либо), проводить (что-либо)
世界	мир, вселенная, свет; космос; макрокосм
日本	Япония; японский
不能	нельзя; нет; не быть в состоянии
计划	расчёт, план, программа, проект; замысел
成为	стать (кем-л., чем-л.)
时间	время; промежуток времени
认为	признать за...; принять за...
需要	требоваться, быть потребным; нуждаться
国际	международные отношения; международный
地区	район, регион; районный, региональный
时候	время, промежуток времени; во время
使用	пользоваться, употреблять, применять
经济	экономика; [народное] хозяйство
活动	двигаться
但是	однако, но; только
历史	история; исторический
应该	быть должным; следует, полагается
政治	политика, политический
不会	не уметь, не мочь
以及	и; а также; а равно; до, вплоть до, и даже
情况	положение, обстановка, условия, состояние
真的	достоверный, подлинный, действительный
组织	организовывать, образовывать, формировать
人民	народ; народный
其他	прочий, остальной; другой; прочее
发生	возникать, появляться, происходить
主要	основной, главный, важнейший
地方	I dìfang
网站	сайт, веб-сайт; интернет-сайт
香港	Гонконг, Сянган (город, САР в КНР)
生活	условия жизни; жизнь, быт; бытовой
这种	этого рода, такой, подобный
你们	вы (множество лиц)
通过	проходить, проезжать [через]
为了	для, ради; ради того, чтобы
同时	одновременно; в то же время; наряду с этим
必须	обязательно следует, необходимо, должно
所以	поэтому, а потому, таким образом
所有	[все] имеющиеся; всё, все
包括	содержать, охватывать, включать (в себя)
发现	обнаруживать, замечать, узнавать, находить
还有	ещё, ещё имеется, ещё есть (в наличии)
一些	немного, несколько, некоторые
全国	вся страна; по всей стране
决定	решать, определять, выносить решение
出现	обнаруживаться, появляться, возникать
如何	как?, каким образом?; каков?, какой?
还是	всё-таки, всё же
一样	один, одна штука
企业	предприятие, корпорация
其中	среди них; из них; в том числе
北京	Пекин (город и административный район
觉得	чувствовать, ощущать; воспринимать
重要	важный, серьёзный; значительный
影响	влияние, воздействие, отражение, отзвук
喜欢	любить, нравиться
文化	культура; духовная культура; цивилизация
起来	вставать [на ноги], подниматься [с места]
不过	не более, не больше чем...
作为	действия, поступки; поведение
学生	ученик, учащийся, студент
希望	надеяться, уповать, ожидать; мечтать
技术	техника; специальные знания, искусство
提供	предоставлять, предлагать, поставлять
要求	требовать, добиваться, просить; требование
那么	так, в такой степени; такой
一定	конечно, определённо, несомненно
不同	неодинаковый, разный, различный; различие
电影	кино (искусство); кино-…
不要	не желать; не хотеть
关系	связь, отношение, зависимость; взаимосвязь
只是	只是… [才] zhǐshì… [cái] только, лишь
研究	исследовать, изучать; исследование
这么	так; такой; в такой степени; настолько
出来	выходить наружу; восходить (о солнце)
根据	данные, доказательства; база, основания
系统	система; порядок; формация; системный
任何	любой, все; какой-либо
只有	只有 … [才] только (лишь) при [наличии
服务	служить, нести службу
结果	I jiéguǒ
这里	тут, здесь; сюда; здешний
一起	вместе, совместно; за один раз: в итоге
因此	поэтому, ввиду этого, по указанной причине
游戏	игра, забава, развлечение
看到	обратить внимание на...; перейти к...
虽然	хотя; несмотря на то, что
中心	центр, середина, ядро; сердцевина
人们	народ, люди
今天	сегодня, нынче; нынешний
代表	представитель; уполномоченный; депутат
支持	поддерживать; вести; поощрать; поддержка
而且	к тому же [ещё], притом; вдобавок
一直	прямо, напрямик, напрямую; без обиняков
城市	город (в противоположность деревне)
市场	рынок, базар
最后	окончательный, конечный, финальный
继续	продолжать(ся); продолжение
东西	dōngxī
之后	после; после того, как; спустя
内容	содержание, содержимое, контент, данные
对于	по отношению к...; относительно; о, об
教育	обучение, просвещение, образование
特别	особый, специфический; частный
由于	по причине; из-за; вследствие; ввиду того
获得	получить, добыть, приобрести; добиться
许多	очень много, порядочно; целый ряд
两个	два (полный, целых)
大学	высшее учебное заведение, университет
学校	школа, учебное заведение, училище
方式	образец; образ; модель
朋友	друг, приятель
目前	в настоящее время
表示	выражать, показать, изъявлять, заявлять
资料	материалы, данные; информация; средства
一种	своего рода, своеобразный; известного рода
关于	в отношении...; что касается...
孩子	ребёнок, дитя
安全	безопасность; техника безопасности
大家	все, все присутствующие; люди, публика
运动	двигаться; быть подвижным, маневрировать
部分	часть, доля; раздел; элемент; частичный
很多	очень много, полным-полно, множество
非常	чрезвычайный, внеочередной
台湾	Тайвань; тайваньский
建设	строить, созидать; создание, созидание
新闻	новость; известие; [газетная] хроника
有人	некто, кто-то; некоторые, кое-что
自由	свобода; свободный; свободно
参加	участвовать, принимать участие
当时	dāngshí
过去	I гл.
那些	те; эти -----устар. 哪些
产品	продукция, продукт производства, изделие
会议	конференция; заседание, совещание; совет
单位	единица (измерения); единичный
完全	полный; целый; совершенный; законченный
建立	учреждать, основывать, образовывать
得到	получить, обрести, добиться
有关	соответствующий; заинтересованный
生产	родить, родиться, рожать
相关	касаться, быть связанным с
国内	внутри страны; внутренний
然后	а потом, а после, а затем
选择	выбирать, избирать, отбирать
那个	тот, то
一切	весь, целиком; все, всё; огульно
一次	один (о событиях, собраниях, входной зажим
人口	население, демографический
无法	нет возможности, невозможно; нет выхода
管理	управлять, заведовать, распоряжаться
能够	мочь, быть в состоянии; быть возможным
记者	журналист, корреспондент, репортёр
进入	входить, проникнуть, вступать в...
领导	руководить, вести, возглавлять
上海	Шанхай (город и административный район
个人	отдельный человек, [частное] лицо
一般	обычный, простой, рядовой, общий; в общем
完成	закончить, завершить; выполнить; совершить
环境	обстановка, положение, обстоятельства
网络	прям., перен. сеть; Интернет
一点	точка (обычно в каллиграфии)
保护	защищать, охранять
提出	вытаскивать, извлекать; отбирать
民主	демократия; демократический
甚至	вплоть до того, что даже...; [и] даже...
事件	дело, вопрос
当然	конечно, естественно, вполне очевидно
机构	механизм, устройство, аппарат
法律	закон; право; правовой; юридический
视频	видео, видеоролик, клип
过程	процесс; ход (дела, события)
准备	подготовить; подготовиться к...
直接	прямой, непосредственный; немедленный
设计	план, проект; устройство, конструкция
之间	между..., в промежутке между..., среди...
事情	дело, событие, инцидент; случай, факт
人员	сотрудник, работник; личный состав, штат
信息	информация, сведения; данные
哪里	где, куда, откуда
存在	существовать, иметься; существование
学习	учиться, заниматься, обучаться (чему-л.)
总统	президент
成功	успешное завершение, успех; успешный
或者	или; либо
战争	война; военный
报告	докладывать, доносить, сообщать
最大	наибольший, предельно большой, крупнейший
比较	сравнивать, сопоставлять; сравнение
照片	фотография, фотоснимок, фото
英国	Англия, Великобритания
接受	принимать (предложение, условие)
改变	изменять, переменять; преобразовывать
政策	политика, политический курс
方法	способ, метод; средство; путь, приём
时期	период, этап, время
正在	как раз в...; как раз находясь в...
科技	наука и техника; научно-технический
项目	пункт, статья, рубрика, перечень
一下	сразу, в один присест, то, вдруг
不断	непрерывный; перманентный; беспрерывно
以后	наречие после этого, позже, в будущем
合作	сотрудничать, работать вместе
故事	I gùshi
方面	сторона; со стороны; в направлении
有些	некоторые
认识	знать (в лицо, по внешнему виду); узнавать
资源	ресурс(ы); источник средств
集团	корпорация; объединение, блок; концерн
专业	специальность; [особый] профиль
之前	перед этим, до этого, прежде, раньше
任务	задача; задание, урок; поручение
原因	причина, повод; основание
参与	участвовать, принимать участие
女人	nǚrén женщина
小时	час
成立	основать, образовать, создать, учредить
是否	вопросительное слово да или нет?, не...ли?
科学	наука; отрасль науки; научный
规定	определять, устанавливать, намечать
